train_acc,train_loss,val_acc,val_loss
0.0192,4.457647,0.024,4.325809
0.028315789473684207,4.299297,0.0368,4.233873
0.03193684210526316,4.25338,0.0392,4.1944485
0.03298947368421053,4.2330832,0.0364,4.200464
0.0340842105263158,4.214302,0.0444,4.1731114
0.03886315789473684,4.2028494,0.0456,4.1646132
0.03772631578947369,4.204288,0.037200000000000004,4.1645966
0.037747368421052634,4.1906533,0.045200000000000004,4.1562657
0.039726315789473686,4.181725,0.044000000000000004,4.159315
0.040400000000000005,4.1772094,0.04880000000000001,4.1483035
0.04111578947368421,4.1733127,0.044800000000000006,4.1335063
0.039557894736842104,4.1739936,0.05360000000000001,4.1356206
0.04109473684210527,4.1665816,0.052000000000000005,4.139713
0.0408,4.1635075,0.048400000000000006,4.1241293
0.04206315789473685,4.16618,0.0516,4.121785
0.04170526315789474,4.163412,0.05000000000000001,4.1233225
0.04170526315789474,4.1608453,0.049600000000000005,4.121872
0.044842105263157905,4.1463146,0.04680000000000001,4.111479
0.04256842105263158,4.153218,0.0408,4.113873
0.04421052631578947,4.1459436,0.0464,4.1180344
0.044126315789473694,4.1577196,0.0552,4.0922413
0.04595789473684211,4.1400323,0.05240000000000001,4.1004677
0.047221052631578955,4.1350665,0.0444,4.1085515
0.048063157894736856,4.1324024,0.0528,4.0846944
0.04547368421052632,4.1287227,0.0616,4.097209
0.04882105263157895,4.123876,0.054400000000000004,4.0822773
0.04837894736842106,4.1252503,0.05920000000000001,4.0692177
0.049747368421052644,4.11931,0.05080000000000001,4.094937
0.04821052631578949,4.112424,0.05920000000000001,4.07131
0.04850526315789475,4.1156607,0.0532,4.0996184
0.04907368421052632,4.1118755,0.0592,4.0737567
0.0508842105263158,4.107876,0.0588,4.076212
0.04995789473684211,4.1040115,0.056400000000000006,4.0617476
0.05065263157894737,4.104529,0.055200000000000006,4.0675206
0.05223157894736843,4.1017323,0.057600000000000005,4.046442
0.05061052631578948,4.1055045,0.0604,4.051727
0.05254736842105264,4.097505,0.0584,4.0494933
0.05486315789473685,4.0901976,0.062,4.0590124
0.05345263157894737,4.093304,0.055600000000000004,4.0643616
0.05313684210526316,4.091191,0.06000000000000001,4.0442543
0.056,4.084219,0.055600000000000004,4.043617
0.055157894736842114,4.080715,0.0564,4.049463
0.05646315789473685,4.078198,0.06520000000000001,4.05801
0.05618947368421054,4.0742,0.06080000000000001,4.0549088
0.0580842105263158,4.0722103,0.0592,4.068677
0.05610526315789474,4.0709033,0.0684,4.043331
0.05795789473684211,4.0703807,0.066,4.0403824
0.057957894736842125,4.0704722,0.061200000000000004,4.048723
0.05722105263157894,4.0673337,0.068,4.024964
0.05875789473684211,4.0628853,0.06720000000000001,4.0258894
0.05873684210526317,4.064061,0.06040000000000001,4.0324864
0.05934736842105264,4.060795,0.0636,4.0166445
0.060778947368421064,4.0596814,0.068,4.0250826
0.05922105263157895,4.058542,0.06520000000000001,4.014662
0.06035789473684212,4.05332,0.06880000000000001,4.0298834
0.06088421052631579,4.055947,0.0608,4.0385175
0.05993684210526316,4.050825,0.0608,4.036019
0.06094736842105264,4.0513883,0.0656,4.0181594
0.06170526315789474,4.0477066,0.062,4.0282807
0.062021052631578956,4.047867,0.0684,4.009582
0.06115789473684211,4.0441675,0.0704,4.0319767
0.06153684210526317,4.0442057,0.06480000000000001,4.0050936
0.062484210526315795,4.042975,0.0708,4.0173397
0.06231578947368422,4.041216,0.0724,4.036034
0.061915789473684216,4.0401115,0.0664,4.023266
0.06351578947368422,4.037821,0.06880000000000001,4.018216
0.06275789473684211,4.035109,0.0684,4.0266504
0.06427368421052632,4.0381894,0.0636,4.010532
0.06385263157894738,4.0385513,0.0664,4.01817
0.06372631578947369,4.0337763,0.06720000000000001,4.006561
0.06435789473684211,4.033504,0.0632,4.013073
0.06311578947368422,4.034064,0.07160000000000001,4.010021
0.06456842105263158,4.033408,0.0708,4.0107074
0.06507368421052633,4.02697,0.06760000000000001,3.995976
0.06494736842105263,4.0288477,0.07,4.006075
0.06547368421052632,4.028791,0.06760000000000001,4.0181174
0.06530526315789474,4.0255775,0.06920000000000001,4.0030365
0.06475789473684211,4.02968,0.06920000000000001,4.0133133
0.06469473684210528,4.0276747,0.0704,3.9925265
0.0668421052631579,4.02349,0.0664,4.0139313
0.06677894736842106,4.023182,0.06720000000000001,4.0037313
0.06553684210526316,4.0249057,0.0696,4.000285
0.06570526315789475,4.0281124,0.068,4.001618
0.06486315789473684,4.0215807,0.06200000000000001,3.9982407
0.06553684210526316,4.0208387,0.06760000000000001,3.9866838
0.06654736842105263,4.0187283,0.0704,3.9946287
0.06650526315789475,4.021478,0.0664,4.0009265
0.0659578947368421,4.020866,0.0708,3.9967868
0.06587368421052632,4.020599,0.0676,4.0162263
0.06745263157894738,4.0193825,0.07440000000000001,3.988886
0.06686315789473683,4.0175657,0.06480000000000001,4.00597
0.06760000000000001,4.0183067,0.0704,3.9963012
0.0676842105263158,4.0145273,0.0684,3.99531
0.06736842105263158,4.0162253,0.0684,3.9895065
0.06707368421052633,4.01619,0.0664,3.9968781
0.06757894736842107,4.0148864,0.06920000000000001,3.9992445
0.06766315789473684,4.016209,0.07,3.984835
0.06738947368421054,4.0167856,0.066,3.9977481
0.06968421052631579,4.012906,0.07120000000000001,4.006372
0.06768421052631579,4.015672,0.06720000000000001,3.9993896
