train_acc,train_loss,val_acc,val_loss
0.047010526315789475,4.199759,0.07400000000000001,4.0059657
0.09265263157894738,3.8366804,0.11,3.7270281
0.15210526315789474,3.5250225,0.16,3.4624577
0.20141052631578948,3.259824,0.20560000000000003,3.1940289
0.2494315789473684,2.9882603,0.2636,3.0005736
0.30178947368421055,2.7136328,0.28680000000000005,2.7917962
0.34391578947368423,2.5032399,0.33520000000000005,2.5626495
0.3788631578947368,2.3381116,0.36560000000000004,2.3892694
0.40513684210526313,2.2085958,0.3908,2.2791777
0.42753684210526316,2.1062322,0.4144,2.1857226
0.4494526315789474,2.0112386,0.4076000000000001,2.1982245
0.4654736842105264,1.933422,0.41,2.1518595
0.47842105263157897,1.8730949,0.45120000000000005,2.039219
0.49709473684210526,1.8024738,0.45,2.0155864
0.5094315789473685,1.7606297,0.42840000000000006,2.2274072
0.5187578947368421,1.7079215,0.44439999999999996,2.0174732
0.531221052631579,1.6633779,0.47559999999999997,2.0113404
0.537621052631579,1.6240083,0.5068,1.8360841
0.5471368421052631,1.5871885,0.49279999999999996,1.8676996
0.5571157894736842,1.552922,0.5104,1.7791275
0.562021052631579,1.5219544,0.486,1.8972417
0.5741684210526317,1.486729,0.5168,1.7811708
0.5796842105263157,1.4591169,0.5164,1.7941983
0.5862105263157894,1.4334306,0.5092,1.8014015
0.5922736842105264,1.4096105,0.5192,1.7503778
0.6011157894736842,1.3823193,0.508,1.856412
0.6052842105263158,1.3590252,0.53,1.69287
0.6106736842105263,1.3350362,0.524,1.7335285
0.6190947368421053,1.310393,0.5304,1.7702283
0.6229263157894737,1.2900025,0.5424,1.700203
0.627621052631579,1.2706319,0.5436000000000001,1.7165785
0.6340842105263158,1.2497603,0.5296,1.8296342
0.6392421052631578,1.2306877,0.5572,1.6807421
0.6421684210526315,1.2126676,0.5632,1.7191565
0.6514736842105263,1.1799105,0.5584,1.6484728
0.6531789473684211,1.1680448,0.5496,1.6635878
0.6588631578947368,1.1547593,0.562,1.6742228
0.662821052631579,1.1298813,0.5588000000000001,1.668595
0.6659789473684211,1.1213261,0.5751999999999999,1.5957909
0.6682315789473685,1.1079563,0.5792,1.6284909
0.6762736842105262,1.0829667,0.5432,1.7397326
0.6802526315789473,1.0646881,0.5723999999999999,1.6514511
0.6846526315789473,1.0544039,0.5771999999999999,1.6623257
0.6913473684210527,1.0327432,0.5776,1.6235726
0.6923157894736842,1.0204873,0.5724,1.7134371
0.6978526315789474,1.0061237,0.5760000000000001,1.7179027
0.7018947368421053,0.98541826,0.5751999999999999,1.622455
0.7066315789473684,0.9709839,0.5856,1.6437106
0.7060842105263158,0.96705174,0.5895999999999999,1.5895958
0.7130947368421053,0.94317883,0.5804,1.659748
0.7154105263157894,0.9390785,0.5908,1.69296
0.7185684210526316,0.9213212,0.5884,1.6839094
0.7212210526315789,0.90917915,0.584,1.6762074
0.7246105263157894,0.89574975,0.5976,1.6067744
0.7300842105263158,0.87914,0.5868,1.7121834
0.7321473684210525,0.87199706,0.5972,1.6646739
0.7370947368421051,0.85955197,0.5888,1.6800585
0.7398315789473683,0.8394711,0.6004,1.6493881
0.7408631578947368,0.8377016,0.6032000000000001,1.6500092
0.7502105263157895,0.8120864,0.588,1.6864775
0.7516631578947368,0.8082293,0.5928,1.6710653
0.7535578947368422,0.7947781,0.5928,1.6610638
0.7561684210526316,0.7876471,0.6032,1.6720419
0.7620210526315789,0.76986396,0.6103999999999999,1.6654347
0.7636842105263157,0.7566432,0.5988,1.70015
0.7667789473684211,0.74621266,0.5932,1.6998422
0.7698526315789472,0.73647517,0.6036,1.6988115
0.7729894736842104,0.72985864,0.5976,1.683631
0.7744,0.71814364,0.6092,1.6917484
0.7774947368421052,0.7055905,0.6072000000000001,1.7385814
0.7831368421052631,0.6912316,0.6044,1.6844357
0.7853684210526315,0.68280965,0.6096,1.7020407
0.7865894736842105,0.67846125,0.6016,1.7375737
0.7877052631578947,0.66893053,0.6115999999999999,1.7554001
0.7905684210526316,0.6582635,0.606,1.7423264
0.7946947368421053,0.6553417,0.5996,1.7484075
0.796357894736842,0.6442931,0.606,1.7467902
0.7966315789473685,0.64076954,0.6040000000000001,1.779516
0.8011157894736841,0.62677556,0.6136,1.7354869
0.802821052631579,0.62451804,0.61,1.7598768
0.8022105263157895,0.62116563,0.6152000000000001,1.747089
0.8062315789473684,0.6109908,0.6132,1.7632527
0.8100421052631579,0.6044166,0.6064,1.760347
0.8082105263157894,0.5974157,0.6072,1.7459648
0.8113473684210526,0.5967188,0.612,1.7749567
0.8109052631578948,0.58944553,0.6152,1.774012
0.8121263157894738,0.590211,0.6195999999999999,1.783123
0.8146736842105263,0.5818318,0.6040000000000001,1.789264
0.8136421052631578,0.5799734,0.6156,1.774401
0.8176631578947368,0.57360864,0.6176,1.7826613
0.8181684210526315,0.5713483,0.6192,1.7813935
0.8190947368421052,0.57169586,0.618,1.7890233
0.8187157894736842,0.57041544,0.6115999999999999,1.8049774
0.8201684210526315,0.5644521,0.6164000000000001,1.7755803
0.8194526315789474,0.5632259,0.6144,1.7848325
0.8214947368421051,0.5645978,0.6172,1.784482
0.8218947368421052,0.5606719,0.6144,1.7939252
0.8226736842105264,0.55900556,0.6156,1.7793698
0.8230736842105263,0.5581756,0.612,1.8047996
0.8202105263157895,0.565864,0.618,1.7919059
